"","GDP_n","GDP_deflator","GDP_real","C_n","C_deflator","C_real","I_n","I_deflator","I_real","cpi","W_n","W_real","R_n","R_real","NX","G_n","i","wageShare","profitShare","G_share","I_share","C_share","NX_share","oecd_real"
"20",191.1608,55.0074394,347.518084981065,112.3042,57.3147202,195.943031054001,53.6709,71.6431199,74.9142416953843,53.1028535,101.1826,190.540796456447,86.9464,163.732067618551,1.953,18.33727,3.4525,0.529306217592728,0.454833836225837,0.0959258906637763,0.28076310624354,0.587485509581462,0.0102165297487769,22612.6048604229
"21",205.3702,56.4963016,363.510874488818,120.4603,59.9033848,201.090974077979,62.85,76.3248161,82.345432601704,55.2389162,109.0557,197.425488228533,92.7599,167.924909431876,-4.6036,19.37833,4.7625,0.531020079836315,0.451671664146015,0.0943580422086554,0.306032715554642,0.586551992450706,-0.0224161051603397,22900.7337852066
"22",220.4713,59.6946186,369.331951808467,128.8691,63.4737228,203.027480215797,68.1359,81.6352675,83.463804415169,58.8240929,118.1475,200.848826008841,98.6589,167.718523373949,1.1345,21.1529,5.57,0.535886076781876,0.447490897908254,0.0959440072245231,0.309046574316022,0.584516442729734,0.00514579448662933,23425.2341878996
"23",233.5725,64.0810037,364.495695313212,136.6882,67.1556923,203.539261257828,68.5055,85.6135868,80.0170890632514,62.1506553,126.7698,203.971783383594,100.2698,161.333455803482,1.3029,22.97607,4.5983333333,0.542742831454902,0.429287694398955,0.0983680441832836,0.293294373267401,0.585206734525683,0.00557813954981858,23468.6081522981
"24",240.629,65.5977247,366.825223131558,142.9104,69.3400621,206.100767250395,72.2163,87.1855924,82.8305434557098,63.9839718,132.3461,206.842583035772,101.4293,158.52298184465,-2.4343,24.34344,4.1741666667,0.550000623366261,0.421517356594592,0.101165861138932,0.30011469939201,0.593903477968159,-0.01011640325979,24128.8477290477
"25",257.1872,68.063963,377.861042266963,149.7246,71.4884669,209.438817885742,76.5552,88.6326154,86.3736217807694,65.8596343,137.5364,208.832620256441,114.1415,173.310254776195,7.2112,25.50265,4.5529166667,0.534771559393313,0.443807079045924,0.0991598726530714,0.297663336278011,0.582161942740541,0.0280387204339874,25275.784784902
"26",272.6897,69.6095121,391.742007339827,156.9971,73.3933879,213.911776649297,82.185,91.8820526,89.4461950668264,68.1221757,145.9524,214.250937378678,120.2159,176.471022489671,6.9385,27.33313,4.7000833333,0.535232537202542,0.440852368094578,0.100235285747867,0.301386521016379,0.57573535047345,0.0254446720943255,26256.295305457
"27",286.1869,71.7218787,399.023150518783,163.4416,74.3238845,219.904544951495,88.4315,92.5055068,95.5959305116741,68.6333031,155.1918,226.117340985152,122.9331,179.115814695505,2.3466,29.08726,4.2299166667,0.542274296971664,0.429555301098688,0.101637286682235,0.308999119107129,0.57110091342406,0.00819953673630764,27015.8445099337
"28",297.1013,73.2950864,405.34954605088,169.6109,74.8875386,226.487481323094,92.7473,93.2080239,99.5057036071333,69.6218436,163.0794,234.235969011312,124.6545,179.045100724681,3.8469,30.04511,4.03275,0.548901670911571,0.419569015685896,0.101127494225034,0.312173995872788,0.570885755127965,0.0129481089446596,27987.0315413083
"29",315.4006,75.3401923,418.635246833582,176.2721,76.2021592,231.321660502239,103.9921,96.5011368,107.762564720377,70.9254907,173.3486,244.409447561284,133.0656,187.613224366455,3.9743,32.49165,4.1140833333,0.549614046390527,0.421893934253771,0.103017083670735,0.329714337892826,0.558883210748489,0.0126008003789466,29258.0813044709
"30",340.4403,77.945801,436.765413444144,186.406,78.5962905,237.168953921559,114.0634,101.1030851,112.818911398382,73.1633813,186.0417,254.282534096056,146.5614,200.320703329768,4.0949,36.51551,5.12325,0.546473787034026,0.430505436636027,0.10725965756698,0.335046702755226,0.547543871862409,0.012028246949612,30397.6365592435
"31",369.1988,81.5341329,452.815019757204,199.3592,82.7527847,240.909355162763,121.6552,103.0657919,118.036448134058,77.1171005,202.949,263.169904838422,158.7624,205.871848099372,0.7664,40.1503,6.3840833333,0.549701136623413,0.430018732455252,0.108749811754534,0.329511363525559,0.539977919754885,0.0020758464003675,31377.5358284258
"32",385.605,85.9443986,448.667983348946,213.6953,87.1176463,245.295079786838,121.7719,105.280455,115.664298753268,81.6358516,217.8987,266.915449192178,161.6224,197.979682740273,5.4346,44.1883,6.2164166667,0.565082662309877,0.419139793311809,0.114594727765459,0.315794401006211,0.554181870048365,0.0140936969178304,31771.7596668958
"33",393.6255,87.7704029,448.471793445533,222.8902,90.4419909,246.445481553414,111.5498,104.0825193,107.174385045847,84.9315155,224.8778,264.775447224888,163.284,192.253722353512,10.1626,46.56061,6.4300833333,0.571298861481281,0.414820686159814,0.118286569340655,0.283390684800654,0.566249391871207,0.025817941164889,32451.5409258062
"34",402.2582,89.8084528,447.906836671392,227.7623,92.7635622,245.529919936602,106.7798,102.9489521,103.721114029678,87.7279891,227.597,259.434876297649,168.9146,192.543567603557,15.9178,47.62707,4.6218333333,0.565798285777642,0.419915864984232,0.118399252022706,0.265450896961205,0.566209215871796,0.0395711013473436,32944.893344452
"35",412.1907,90.8721334,453.594170817607,230.2108,92.6312275,248.523965635671,110.4227,102.1006508,108.150828750643,88.4755342,228.9445,258.765886038584,177.3426,200.44253092512,16.3798,48.87306,5.1178333333,0.555433443791915,0.430244059363785,0.11856905068455,0.267892264430032,0.558505565506451,0.03973840263742,33949.974122315
"36",417.2283,91.5425498,455.775266159344,235.0701,93.7589359,250.717542539857,111.5121,99.2350123,112.371729912105,90.0679415,234.36,260.203570878768,174.3876,193.61783681933,15.8015,49.26713,4.77825,0.561706864083764,0.417966854117997,0.118081946982024,0.267268783061935,0.563408809996829,0.0378725508312835,34855.0486948008
"37",420.3685,91.7988884,457.923300953609,240.4206,94.4840911,254.456170558432,107.6239,96.9890943,110.964950004693,90.7989636,234.9259,258.731917948896,177.7984,195.815450915565,13.8852,50.00632,4.38375,0.558857050421238,0.422958428141024,0.118958294924572,0.256022751466868,0.571928201090234,0.0330310192129049,35980.2486546751
"38",427.8261,91.3614812,468.278419286398,247.1155,95.1726103,259.649808091898,109.8599,95.0365302,115.59754945683,91.2713229,237.73,260.465163039726,181.8551,199.246701178251,19.3334,49.75653,3.67025,0.555669698506005,0.425067802081266,0.116300828771316,0.256786343797164,0.577607350276199,0.0451898563458377,37328.7968256424
"39",439.9549,91.1885726,482.467141940985,252.881,95.1667398,265.724139054725,117.9967,94.3758641,125.028471130046,91.2876955,241.9182,265.006361125635,188.8242,206.845182108908,16.6028,49.86577,3.0445833333,0.549870452630486,0.429189901055767,0.113342913103139,0.268201808867227,0.574788461271826,0.0377375044578433,38417.0674867523
"40",447.4658,91.2284862,490.489120929861,258.7369,95.328279,271.416732489212,121.9525,94.7834202,128.664380060005,92.02388,246.7219,268.1063871682,187.7438,204.016392266877,16.7577,50.79632,3.0393333333,0.551375993427878,0.419571283436634,0.113520005327781,0.272540381857116,0.578227207531838,0.037450236420303,39661.7343640931
"41",471.54,92.4758397,509.906156602328,267.2091,96.282613,277.525808320138,129.7303,96.2310924,134.811209936966,93.458099,256.6636,274.629596307111,199.2177,213.162585299322,23.2874,52.62335,3.9250833333,0.544309284472155,0.422483140348645,0.111598909954617,0.275120456376978,0.56667324087034,0.0493858421342834,41326.992447758
